Available bandpass filters
===================================
idx|   f1  |   f2   |  fs  | or | type
068|  0.10 |  100.0 |  512 |  8 | 1
069|  0.10 |  200.0 |  512 |  8 | 1
070|  0.50 |   30.0 |  512 |  8 | 1
071|  0.50 |   60.0 |  512 |  8 | 1
072|  0.50 |  100.0 |  512 |  8 | 1
073|  0.50 |  200.0 |  512 |  8 | 1
074|  2.00 |   30.0 |  512 |  8 | 1
075|  2.00 |   60.0 |  512 |  8 | 1
076|  2.00 |  100.0 |  512 |  8 | 1
077|  2.00 |  200.0 |  512 |  8 | 1
078|  5.00 |   30.0 |  512 |  8 | 1
079|  5.00 |   60.0 |  512 |  8 | 1
080|  5.00 |  100.0 |  512 |  8 | 1
081|  5.00 |  200.0 |  512 |  8 | 1
082|  0.10 |    0.0 |  600 |  8 | 1
083|  1.00 |    0.0 |  600 |  8 | 1
084|  2.00 |    0.0 |  600 |  8 | 1
085|  5.00 |    0.0 |  600 |  8 | 1
086|  0.00 |   30.0 |  600 |  8 | 1
087|  0.00 |   60.0 |  600 |  8 | 1
088|  0.00 |  100.0 |  600 |  8 | 1
089|  0.00 |  200.0 |  600 |  8 | 1
090|  0.00 |  250.0 |  600 |  8 | 1
091|  0.01 |   60.0 |  600 |  6 | 1
092|  0.01 |  100.0 |  600 |  6 | 1
093|  0.01 |  200.0 |  600 |  6 | 1
094|  0.01 |  250.0 |  600 |  8 | 1
095|  0.10 |   60.0 |  600 |  8 | 1
096|  0.10 |  100.0 |  600 |  8 | 1
097|  0.10 |  200.0 |  600 |  8 | 1
098|  0.10 |  250.0 |  600 |  8 | 1
099|  0.50 |   30.0 |  600 |  8 | 1
100|  0.50 |   60.0 |  600 |  8 | 1
101|  0.50 |  100.0 |  600 |  8 | 1
102|  0.50 |  200.0 |  600 |  8 | 1
103|  0.50 |  250.0 |  600 |  8 | 1
104|  2.00 |   30.0 |  600 |  8 | 1
105|  2.00 |   60.0 |  600 |  8 | 1
106|  2.00 |  100.0 |  600 |  8 | 1
107|  2.00 |  200.0 |  600 |  8 | 1
108|  2.00 |  250.0 |  600 |  8 | 1
109|  5.00 |   30.0 |  600 |  8 | 1
110|  5.00 |   60.0 |  600 |  8 | 1
111|  5.00 |  100.0 |  600 |  8 | 1
112|  5.00 |  200.0 |  600 |  8 | 1
113|  5.00 |  250.0 |  600 |  8 | 1
114|  0.10 |    0.0 | 1200 |  8 | 1
115|  1.00 |    0.0 | 1200 |  8 | 1
116|  2.00 |    0.0 | 1200 |  8 | 1
117|  5.00 |    0.0 | 1200 |  8 | 1
118|  0.00 |   30.0 | 1200 |  8 | 1
119|  0.00 |   60.0 | 1200 |  8 | 1
120|  0.00 |  100.0 | 1200 |  8 | 1
121|  0.00 |  200.0 | 1200 |  8 | 1
122|  0.00 |  250.0 | 1200 |  8 | 1
123|  0.00 |  500.0 | 1200 |  8 | 1
124|  0.01 |  100.0 | 1200 |  6 | 1
125|  0.01 |  200.0 | 1200 |  6 | 1
126|  0.01 |  250.0 | 1200 |  6 | 1
127|  0.01 |  500.0 | 1200 |  6 | 1
128|  0.10 |  100.0 | 1200 |  6 | 1
129|  0.10 |  200.0 | 1200 |  8 | 1
130|  0.10 |  250.0 | 1200 |  8 | 1
131|  0.10 |  500.0 | 1200 |  8 | 1
132|  0.50 |  100.0 | 1200 |  8 | 1
133|  0.50 |  200.0 | 1200 |  8 | 1
134|  0.50 |  250.0 | 1200 |  8 | 1
135|  0.50 |  500.0 | 1200 |  8 | 1
136|  2.00 |  100.0 | 1200 |  8 | 1
137|  2.00 |  200.0 | 1200 |  8 | 1
138|  2.00 |  250.0 | 1200 |  8 | 1
139|  2.00 |  500.0 | 1200 |  8 | 1
140|  5.00 |  100.0 | 1200 |  8 | 1
141|  5.00 |  200.0 | 1200 |  8 | 1
142|  5.00 |  250.0 | 1200 |  8 | 1
143|  5.00 |  500.0 | 1200 |  8 | 1
144|  0.10 |    0.0 | 2400 |  8 | 1
145|  1.00 |    0.0 | 2400 |  8 | 1
146|  2.00 |    0.0 | 2400 |  8 | 1
147|  5.00 |    0.0 | 2400 |  8 | 1
148|  0.00 |   30.0 | 2400 |  8 | 1
149|  0.00 |   60.0 | 2400 |  8 | 1
150|  0.00 |  100.0 | 2400 |  8 | 1
151|  0.00 |  200.0 | 2400 |  8 | 1
152|  0.00 |  250.0 | 2400 |  8 | 1
153|  0.00 |  500.0 | 2400 |  8 | 1
154|  0.00 | 1000.0 | 2400 |  8 | 1
155|  0.01 |  200.0 | 2400 |  4 | 1
156|  0.01 |  250.0 | 2400 |  6 | 1
157|  0.01 |  500.0 | 2400 |  6 | 1
158|  0.01 | 1000.0 | 2400 |  6 | 1
159|  0.10 |  200.0 | 2400 |  6 | 1
160|  0.10 |  250.0 | 2400 |  6 | 1
161|  0.10 |  500.0 | 2400 |  8 | 1
162|  0.10 | 1000.0 | 2400 |  8 | 1
163|  0.50 |  200.0 | 2400 |  8 | 1
164|  0.50 |  250.0 | 2400 |  8 | 1
165|  0.50 |  500.0 | 2400 |  8 | 1
166|  0.50 | 1000.0 | 2400 |  8 | 1
167|  2.00 |  200.0 | 2400 |  8 | 1
168|  2.00 |  250.0 | 2400 |  8 | 1
169|  2.00 |  500.0 | 2400 |  8 | 1
170|  2.00 | 1000.0 | 2400 |  8 | 1
171|  5.00 |  200.0 | 2400 |  8 | 1
172|  5.00 |  250.0 | 2400 |  8 | 1
173|  5.00 |  500.0 | 2400 |  8 | 1
174|  5.00 | 1000.0 | 2400 |  8 | 1
175|  0.10 |    0.0 | 4800 |  6 | 1
176|  1.00 |    0.0 | 4800 |  8 | 1
177|  2.00 |    0.0 | 4800 |  8 | 1
178|  5.00 |    0.0 | 4800 |  8 | 1
179|  0.00 |   30.0 | 4800 |  8 | 1
180|  0.00 |   60.0 | 4800 |  8 | 1
181|  0.00 |  100.0 | 4800 |  8 | 1
182|  0.00 |  200.0 | 4800 |  8 | 1
183|  0.00 |  250.0 | 4800 |  8 | 1
184|  0.00 |  500.0 | 4800 |  8 | 1
185|  0.00 | 1000.0 | 4800 |  8 | 1
186|  0.00 | 2000.0 | 4800 |  8 | 1
187|  0.01 |  500.0 | 4800 |  6 | 1
188|  0.01 | 1000.0 | 4800 |  6 | 1
189|  0.01 | 2000.0 | 4800 |  6 | 1
190|  0.10 |  500.0 | 4800 |  6 | 1
191|  0.10 | 1000.0 | 4800 |  6 | 1
192|  0.10 | 2000.0 | 4800 |  8 | 1
193|  0.50 |  500.0 | 4800 |  8 | 1
194|  0.50 | 1000.0 | 4800 |  8 | 1
195|  0.50 | 2000.0 | 4800 |  8 | 1
196|  2.00 |  500.0 | 4800 |  8 | 1
197|  2.00 | 1000.0 | 4800 |  8 | 1
198|  2.00 | 2000.0 | 4800 |  8 | 1
199|  5.00 |  500.0 | 4800 |  8 | 1
200|  5.00 | 1000.0 | 4800 |  8 | 1
201|  5.00 | 2000.0 | 4800 |  8 | 1

Available notch filters
===================================
idx|   f1  |   f2   |  fs  | or | type
===================================
000| 48.00 |   52.0 |  128 |  4 | 1
001| 58.00 |   62.0 |  128 |  4 | 1
002| 48.00 |   52.0 |  256 |  4 | 1
003| 58.00 |   62.0 |  256 |  4 | 1
004| 48.00 |   52.0 |  512 |  4 | 1
005| 58.00 |   62.0 |  512 |  4 | 1
006| 48.00 |   52.0 |  600 |  4 | 1
007| 58.00 |   62.0 |  600 |  4 | 1
008| 48.00 |   52.0 | 1200 |  4 | 1
009| 58.00 |   62.0 | 1200 |  4 | 1
010| 48.00 |   52.0 | 2400 |  4 | 1
011| 58.00 |   62.0 | 2400 |  4 | 1
012| 48.00 |   52.0 | 4800 |  4 | 1
013| 58.00 |   62.0 | 4800 |  4 | 1
